"ENSEMBLID","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange"
"ENSG00000084734",1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,0,1,0,3,0,1,3,1,0,1,12,2,3,7,1,151,21,4,0.529411764705882,1,3.625,44.25,1.88888888888889,6.84722222222222,83.5833333333333
"ENSG00000170439",7,1,4,8,3,24,31,5,3,3,3,24,2,10,0,8,9,6,16,42,45,14,34,88,23,143,1599,97,33,17,694,1394,667,59,8.47058823529412,29.25,254.25,703.5,3.453125,30.015625,83.0520833333333
"ENSG00000087116",15,2,7,6,0,20,2,6,1,43,0,6,6,14,0,7,2,3,3,0,10,7,40,8,18,2673,894,691,158,299,754,741,733,174,7.35294117647059,5,597.625,600.5,0.68,81.277,81.668
"ENSG00000174358",1,0,0,0,0,0,0,1,0,0,2,0,0,3,0,5,0,0,3,12,3,4,7,0,2,3,1,2,1,1,5,194,7,0,0.647058823529412,5.5,2.125,51.5,8.5,3.28409090909091,79.5909090909091
"ENSG00000165949",14,12,4,8,22,41,12,86,27,2,16,45,6,10,20,42,5,24,6807,23175,14923,895,104,11607,616,7278,44590,1471,1131,417,1289,381,4497,794,22.4705882352941,11450,8401.75,1740.25,509.55497382199,373.899869109948,77.4456806282723
"ENSG00000004939",6,2,1,16,0,1,5,4,0,0,0,4,0,54,0,6,18,0,2,71,523,179,2,52,129,1,3,336,126,1309,122,1163,4,677,6.52941176470588,193.75,244.75,491.5,29.6734234234234,37.4842342342342,75.2747747747748
"ENSG00000224858",0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,148,0,2,1,0,0,139,1,0.470588235294118,0.5,19,35,1.0625,40.375,74.375
"ENSG00000250894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,1,1,0,7,9,0,0.0588235294117647,0.75,0.625,4,12.75,10.625,68
"ENSG00000124102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,1,2,3,6,8,2,0,0.0588235294117647,0.25,1.375,4,4.25,23.375,68
"ENSG00000196415",2,1,2,0,0,1,0,0,1,0,0,3,0,0,0,2,0,0,0,1,1,10,1,0,5,6,62,1,0,11,6,140,9,0,0.588235294117647,3,10.75,38.75,5.1,18.275,65.875
"ENSG00000280225",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,1,1,0,7,7,1,0.0588235294117647,0.75,1,3.75,12.75,17,63.75
"ENSG00000133488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,1,1,1,0,0,1,0,6,0,10,5,0,0.0588235294117647,1.75,1.25,3.75,29.75,21.25,63.75
"ENSG00000103175",2,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,3,1,0,4,1,7,2,2,9,3,22,6,14,26,52,60,5,0.588235294117647,1.5,8.125,35.75,2.55,13.8125,60.775
"ENSG00000117154",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,2,0,2,0,1,4,8,1,0.0588235294117647,1,0.75,3.5,17,12.75,59.5
"ENSG00000138650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,3,0,5,0,2,3,3,0,0,9,5,0,0.0588235294117647,2.25,2,3.5,38.25,34,59.5
"ENSG00000198074",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,2,3,0,5,6,0.0588235294117647,1,0.375,3.5,17,6.375,59.5
"ENSG00000170323",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,5,0,0,6,2,4,2,0.0588235294117647,0.75,0.875,3.5,12.75,14.875,59.5
"ENSG00000246820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,1,0,1,0,2,0,3,11,0,0.0588235294117647,1.5,0.75,3.5,25.5,12.75,59.5
"ENSG00000102837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,1,2,2,2,0,4,2,2,0,10,1,3,0.0588235294117647,1.5,1.875,3.5,25.5,31.875,59.5
"ENSG00000163710",2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,1,2,1,0,3,14,4,1,0,27,34,20,3,0.352941176470588,1,3.125,21,2.83333333333333,8.85416666666667,59.5
"ENSG00000137869",0,0,4,1,0,0,1,0,0,0,0,0,0,1,3,0,2,5,4,5,4,7,4,15,2,81,114,15,3,1,55,149,23,4,1,5,29.375,57.75,5,29.375,57.75
"ENSG00000244734",1830,19,2773,12949,84,188,307,1231,87,433,217,1207,74,80551,19,4630,7823,2385,18,122281,267325,49417,311,31566,40951,115,1848,158490,98515,632411,43510,1171200,112,323781,6763.35294117647,109760.25,120525.875,384650.75,16.2286739956687,17.8204325647738,56.8727897753464
"ENSG00000228729",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,6,1,1,2,10,0,0.0588235294117647,0.75,1,3.25,12.75,17,55.25
"ENSG00000287642",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,0,1,2,0,0,1,2,9,0,21,1,4,0.117647058823529,1.75,1.875,6.5,14.875,15.9375,55.25
"ENSG00000096006",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,2,0,0,4,0,2,0,4,5,4,0.0588235294117647,1.25,1,3.25,21.25,17,55.25
"ENSG00000211625",8,34,7,3,66,130,8,38,10,13,10,12,8,233,13,8,15,26,154,178,664,204,508,71,164,783,2848,120,71,12,3573,636,3349,399,37.2941176470588,300,572.125,1989.25,8.04416403785489,15.3408911671924,53.3395110410095
"ENSG00000287828",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,3,1,0,1,4,5,2,1,0.0588235294117647,0.75,1.625,3,12.75,27.625,51
"ENSG00000284692",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,3,8,0,0.0588235294117647,0.25,0.5,3,4.25,8.5,51
"ENSG00000226440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,2,0,0,4,8,0,0.0588235294117647,1.25,0.375,3,21.25,6.375,51
"ENSG00000235281",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,2,0,1,1,0,0,5,7,0,0.0588235294117647,0.75,0.875,3,12.75,14.875,51
